id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Harbor,Marina Vale,folk,nostalgic,0.54,96,0.72,0.56,0.67
12,Golden Hour Drive,Cedar & Co.,country,hopeful,0.71,112,0.78,0.74,0.31
13,Neon Alley,Byte Wave,hip-hop,energetic,0.89,128,0.62,0.82,0.08
14,Tidepool Memory,Sea Glass,reggae,laid-back,0.58,92,0.74,0.68,0.48
15,Midnight Waltz,The Velvet Keys,classical,romantic,0.33,76,0.69,0.42,0.88
16,Firelight Parade,Northbound Choir,disco,triumphant,0.84,124,0.81,0.86,0.12
17,Desert Echo,Juniper Lane,blues,melancholy,0.47,84,0.41,0.52,0.63
18,Orbiting Hearts,Solstice Echo,electronic,dreamy,0.68,104,0.57,0.76,0.26
19,Backyard Lanterns,The Orchard Crew,soul,soulful,0.49,88,0.73,0.54,0.71
20,City of Spark,Kin & Koda,latin,festive,0.79,118,0.75,0.80,0.21
21,Espresso,Sabrina Carpenter,pop,happy,0.72,104,0.78,0.75,0.12
22,Flowers,Miley Cyrus,pop,happy,0.68,118,0.65,0.71,0.06
23,Vampire,Olivia Rodrigo,pop,moody,0.60,138,0.36,0.51,0.17
24,Greedy,Tate McRae,pop,energetic,0.75,111,0.70,0.83,0.08
25,As It Was,Harry Styles,pop,nostalgic,0.73,174,0.66,0.52,0.34
26,Paint The Town Red,Doja Cat,pop,intense,0.66,100,0.58,0.87,0.20
27,Last Night,Morgan Wallen,country,nostalgic,0.66,104,0.50,0.70,0.46
28,Fast Car,Luke Combs,country,hopeful,0.62,105,0.55,0.60,0.35
29,Need A Favor,Jelly Roll,country,intense,0.70,145,0.40,0.50,0.22
30,Tennessee Orange,Megan Moroney,country,romantic,0.45,78,0.60,0.50,0.60
31,Next Thing You Know,Jordan Davis,country,nostalgic,0.50,96,0.55,0.55,0.50
32,White Horse,Chris Stapleton,country,intense,0.80,120,0.50,0.55,0.20
33,The Emptiness Machine,Linkin Park,rock,intense,0.90,184,0.40,0.50,0.02
34,Dark Matter,Pearl Jam,rock,intense,0.82,140,0.45,0.42,0.05
35,Nowhere,The Black Keys,rock,moody,0.70,120,0.50,0.55,0.10
36,Wild God,Nick Cave and the Bad Seeds,rock,hopeful,0.60,130,0.60,0.40,0.30
37,Honey Are U Coming,Maneskin,rock,energetic,0.85,128,0.60,0.60,0.05
38,Rescued,Foo Fighters,rock,intense,0.88,150,0.55,0.45,0.04
39,Not Like Us,Kendrick Lamar,hip-hop,intense,0.72,101,0.55,0.90,0.03
40,First Person Shooter,Drake,hip-hop,intense,0.68,88,0.50,0.80,0.05
41,FEIN,Travis Scott,hip-hop,intense,0.80,148,0.40,0.75,0.02
42,Rich Baby Daddy,Drake,hip-hop,energetic,0.70,120,0.60,0.82,0.06
43,Type Shit,Metro Boomin,hip-hop,moody,0.66,130,0.40,0.78,0.03
44,Agora Hills,Doja Cat,hip-hop,dreamy,0.60,100,0.50,0.80,0.10
45,Lockdown,Koffee,reggae,laid-back,0.60,100,0.70,0.75,0.30
46,Toast,Koffee,reggae,happy,0.62,96,0.80,0.78,0.25
47,Late At Night,Protoje,reggae,chill,0.55,92,0.65,0.70,0.35
48,Dela Move,Chronixx,reggae,laid-back,0.58,94,0.68,0.72,0.30
49,World On Fire,Stick Figure,reggae,relaxed,0.45,80,0.60,0.60,0.45
50,Blessed,Buju Banton,reggae,soulful,0.55,90,0.66,0.65,0.35
51,Snooze,SZA,r&b,romantic,0.50,143,0.50,0.55,0.30
52,Kill Bill,SZA,r&b,moody,0.55,89,0.55,0.64,0.20
53,Water,Tyla,r&b,energetic,0.68,118,0.65,0.82,0.10
54,Good Good,Usher,r&b,romantic,0.55,105,0.60,0.70,0.15
55,Made For Me,Muni Long,r&b,romantic,0.45,130,0.55,0.50,0.35
56,On My Mama,Victoria Monet,r&b,happy,0.65,96,0.75,0.80,0.10
57,Titi Me Pregunto,Bad Bunny,latin,energetic,0.72,106,0.50,0.65,0.09
58,Monaco,Bad Bunny,latin,moody,0.68,100,0.45,0.70,0.10
59,Ella Baila Sola,Eslabon Armado,latin,festive,0.60,148,0.70,0.60,0.40
60,Un x100to,Grupo Frontera,latin,nostalgic,0.60,150,0.55,0.60,0.45
61,Qlona,Karol G,latin,energetic,0.70,96,0.65,0.82,0.10
62,Mamiii,Becky G,latin,intense,0.72,106,0.55,0.80,0.08
63,Miracle,Calvin Harris,electronic,energetic,0.85,138,0.62,0.70,0.02
64,Rush,Troye Sivan,electronic,energetic,0.80,122,0.68,0.78,0.04
65,Padam Padam,Kylie Minogue,electronic,festive,0.80,122,0.70,0.82,0.03
66,Baby Dont Hurt Me,David Guetta,electronic,energetic,0.82,124,0.65,0.80,0.02
67,Prada,Casso,electronic,moody,0.75,142,0.55,0.75,0.05
68,One In A Million,Bebe Rexha,electronic,energetic,0.80,120,0.66,0.78,0.03
